period,parent,timestamp,chunk_index,chunk_records,status,error,theta_deg,phi_deg,n2o_tlag_s,n2o_hdi_lo_s,n2o_hdi_hi_s,n2o_hdi_range_s,n2o_is_reliable,n2o_tlag_pw_s,n2o_corr_pw,n2o_cov_pwb,n2o_ar_order,n2o_best_combination,n2o_applied_records,n2o_status,ch4_tlag_s,ch4_hdi_lo_s,ch4_hdi_hi_s,ch4_hdi_range_s,ch4_is_reliable,ch4_tlag_pw_s,ch4_corr_pw,ch4_cov_pwb,ch4_ar_order,ch4_best_combination,ch4_applied_records,ch4_status,n2o_pwbopt_s_std,n2o_flag_std,n2o_pwbopt_s_pf,n2o_flag_pf,n2o_tlag_final_s,n2o_tlag_final_pf_s,ch4_pwbopt_s_std,ch4_flag_std,ch4_pwbopt_s_pf,ch4_flag_pf,ch4_tlag_final_s,ch4_tlag_final_pf_s
CH-CHA_202107221010.csv,CH-CHA_202107221010.csv,2021-07-22T10:10:00,0,24000,ok,,146.8057330280362,5.07977760629761,1.5,-6.9,9.9,16.8,False,1.45,0.01777050945031276,1.170026002489932e-07,437.0,ct,33.0,ok,0.7,-5.2,6.65,11.850000000000001,False,-3.5,0.018243344805574015,2.5335717850832153e-05,435.0,ct,34.0,ok,,S3_unreliable,,S3_unreliable,1.65,1.65,,S3_unreliable,,S3_unreliable,1.7,1.7
CH-CHA_202107221030.csv,CH-CHA_202107221010.csv,2021-07-22T10:30:00,1,36000,ok,,116.05343769641719,3.0612725877726774,-0.7,-8.2,8.8,17.0,False,-6.95,0.016805879327550594,-6.702508443533467e-07,428.0,cw,33.0,ok,1.9,-4.95,2.9,7.85,False,-6.15,-0.01741679677807077,3.651642044038073e-06,428.0,ct,34.0,ok,,S3_unreliable,,S3_unreliable,1.65,1.65,,S3_unreliable,,S3_unreliable,1.7,1.7
CH-CHA_202107221100.csv,CH-CHA_202107221010.csv,2021-07-22T11:00:00,2,36000,ok,,115.85327344249868,4.43320815066319,3.45,-7.7,6.2,13.9,False,-7.1,-0.01628200206806361,8.670869877771472e-08,441.0,cw,33.0,ok,1.75,1.45,3.5,2.05,False,1.7,0.024148972771586327,-4.7354422447193876e-06,448.0,ct,34.0,ok,,S3_unreliable,,S3_unreliable,1.65,1.65,,S3_unreliable,,S3_unreliable,1.7,1.7
CH-CHA_202107221130.csv,CH-CHA_202107221010.csv,2021-07-22T11:30:00,3,36000,ok,,139.5301357926496,3.5249931093275606,-2.85,-8.1,4.6,12.7,False,6.25,-0.016128153991317888,-9.685653691383427e-06,441.0,ct,33.0,ok,1.75,1.1,1.9,0.7999999999999998,False,1.55,-0.020666072290653148,-2.434189456515905e-06,425.0,ct,34.0,ok,,S3_unreliable,,S3_unreliable,1.65,1.65,,S3_unreliable,,S3_unreliable,1.7,1.7
CH-CHA_202107221200.csv,CH-CHA_202107221010.csv,2021-07-22T12:00:00,4,36000,ok,,136.98425663632406,5.6832133458981975,2.0,-6.1,8.95,15.049999999999999,False,2.6,0.013801905063342498,4.8883857206893785e-06,431.0,ct,33.0,ok,1.7,1.65,1.95,0.30000000000000004,True,-5.95,-0.015542928835307397,5.167816039924757e-06,403.0,ct,34.0,ok,,S3_unreliable,,S3_unreliable,1.65,1.65,1.7,S1_optimal,1.7,S1_optimal,1.7,1.7
CH-CHA_202107221230.csv,CH-CHA_202107221010.csv,2021-07-22T12:30:00,5,35994,ok,,158.4004471412249,2.6964349527800535,2.45,-6.7,8.85,15.55,False,2.55,0.016176557611435747,7.640787939184466e-06,442.0,ct,33.0,ok,1.95,-7.65,7.65,15.3,False,0.9,0.013516278132299171,0.00017478441118481223,444.0,ct,34.0,ok,,S3_unreliable,,S3_unreliable,1.65,1.65,1.95,S2_optimal,1.7,S3_unreliable,1.95,1.7
CH-CHA_202107221300.csv,CH-CHA_202107221300.csv,2021-07-22T13:00:00,0,36000,ok,,159.97119077484177,3.0686351760378843,1.4,-10.0,6.45,16.45,False,1.2,-0.015776560237535774,-3.2717690410860484e-06,423.0,cw,33.0,ok,1.6,-8.2,2.05,10.25,False,-2.95,0.017854277734997825,0.00043989818658641015,424.0,ct,34.0,ok,,S3_unreliable,,S3_unreliable,1.65,1.65,1.6,S2_optimal,1.7,S3_unreliable,1.6,1.7
CH-CHA_202107221330.csv,CH-CHA_202107221300.csv,2021-07-22T13:30:00,1,36000,ok,,151.27149897657912,3.057934373858383,2.85,-7.85,6.5,14.35,False,3.4,0.01988466508354966,3.176897185637396e-06,455.0,ct,33.0,ok,-0.05,-3.65,9.6,13.25,False,0.0,0.01733862518782325,6.101144284570672e-06,455.0,cw,34.0,ok,,S3_unreliable,,S3_unreliable,1.65,1.65,1.6,S3_unreliable,1.7,S3_unreliable,1.6,1.7
CH-CHA_202107221400.csv,CH-CHA_202107221300.csv,2021-07-22T14:00:00,2,36000,ok,,163.77637973727136,3.5671092011813865,3.55,-9.65,7.5,17.15,False,4.15,0.014785321909902383,2.3637613378177163e-06,451.0,ct,33.0,ok,1.7,-9.6,5.9,15.5,False,-1.75,-0.019127802676809778,7.278094172556377e-06,448.0,ct,34.0,ok,,S3_unreliable,,S3_unreliable,1.65,1.65,1.7,S2_optimal,1.7,S3_unreliable,1.7,1.7
CH-CHA_202107221430.csv,CH-CHA_202107221300.csv,2021-07-22T14:30:00,3,36000,ok,,160.84094683625773,4.7206219417174635,2.7,-4.7,9.25,13.95,False,-6.95,-0.018421287602707205,1.586132753926853e-06,441.0,ct,33.0,ok,1.65,1.65,1.85,0.20000000000000018,True,-5.9,-0.015527986582635751,7.170757758987499e-07,421.0,ct,33.0,ok,,S3_unreliable,,S3_unreliable,1.65,1.65,1.65,S1_optimal,1.65,S1_optimal,1.65,1.65
