period,parent,timestamp,chunk_index,chunk_records,status,error,theta_deg,phi_deg,ch4_tlag_s,ch4_hdi_lo_s,ch4_hdi_hi_s,ch4_hdi_range_s,ch4_is_reliable,ch4_tlag_pw_s,ch4_corr_pw,ch4_cov_pwb,ch4_ar_order,ch4_best_combination,ch4_applied_records,ch4_status,n2o_tlag_s,n2o_hdi_lo_s,n2o_hdi_hi_s,n2o_hdi_range_s,n2o_is_reliable,n2o_tlag_pw_s,n2o_corr_pw,n2o_cov_pwb,n2o_ar_order,n2o_best_combination,n2o_applied_records,n2o_status,h2o_tlag_s,h2o_hdi_lo_s,h2o_hdi_hi_s,h2o_hdi_range_s,h2o_is_reliable,h2o_tlag_pw_s,h2o_corr_pw,h2o_cov_pwb,h2o_ar_order,h2o_best_combination,h2o_applied_records,h2o_status,ch4_pwbopt_s_std,ch4_flag_std,ch4_pwbopt_s_pf,ch4_flag_pf,ch4_tlag_final_s,ch4_tlag_final_pf_s,n2o_pwbopt_s_std,n2o_flag_std,n2o_pwbopt_s_pf,n2o_flag_pf,n2o_tlag_final_s,n2o_tlag_final_pf_s,h2o_pwbopt_s_std,h2o_flag_std,h2o_pwbopt_s_pf,h2o_flag_pf,h2o_tlag_final_s,h2o_tlag_final_pf_s
CH-CHA_202107221010.csv,CH-CHA_202107221010.csv,2021-07-22T10:10:00,0,24000,ok,,146.8057330280362,5.07977760629761,7.1,-6.6,7.4,14.0,False,7.4,-0.04712970569292957,-0.06619238253256246,0.0,cw,34.0,ok,7.35,-7.5,8.55,16.05,False,7.4,-0.04712913302697083,-0.029695969057996905,0.0,wc,33.0,ok,2.0,-7.25,7.7,14.95,False,7.4,-0.04424700791373215,0.06237337684017919,34.0,tc,35.0,ok,,S3_unreliable,,S3_unreliable,1.7,1.7,,S3_unreliable,,S3_unreliable,1.65,1.65,,S3_unreliable,,S3_unreliable,1.75,1.75
CH-CHA_202107221030.csv,CH-CHA_202107221010.csv,2021-07-22T10:30:00,1,36000,ok,,116.05343769641719,3.0612725877726774,0.35,-8.9,8.45,17.35,False,-4.8,-0.01451795218472265,0.09341230737394034,12.0,cw,34.0,ok,0.3,-9.25,8.35,17.6,False,-4.8,-0.01451834146104184,0.11535813247994421,12.0,cw,33.0,ok,1.75,1.7,1.75,0.050000000000000044,True,1.75,0.027431519351699882,0.5687539314202819,203.0,ct,35.0,ok,,S3_unreliable,,S3_unreliable,1.7,1.7,,S3_unreliable,,S3_unreliable,1.65,1.65,1.75,S1_optimal,1.75,S1_optimal,1.75,1.75
CH-CHA_202107221100.csv,CH-CHA_202107221010.csv,2021-07-22T11:00:00,2,36000,ok,,115.85327344249868,4.43320815066319,-6.35,-6.5,6.55,13.05,False,-6.45,0.016157945560468005,0.05290179911537276,378.0,cw,34.0,ok,-0.6,-6.45,6.85,13.3,False,-6.45,0.016157863875173987,-0.009252750101482486,378.0,cw,33.0,ok,1.75,1.75,1.75,0.0,True,1.65,0.021509282870001204,0.522169497674479,391.0,ct,35.0,ok,,S3_unreliable,,S3_unreliable,1.7,1.7,,S3_unreliable,,S3_unreliable,1.65,1.65,1.75,S1_optimal,1.75,S1_optimal,1.75,1.75
CH-CHA_202107221130.csv,CH-CHA_202107221010.csv,2021-07-22T11:30:00,3,36000,ok,,139.5301357926496,3.5249931093275606,1.75,1.1,1.85,0.75,False,1.55,-0.020666072290653148,-2.434189456515905e-06,425.0,ct,34.0,ok,-2.9,-9.3,6.15,15.450000000000001,False,6.25,-0.016128153991317888,-8.539946024754884e-06,441.0,ct,33.0,ok,1.75,1.75,1.75,0.0,True,1.7,0.06618698933878199,121.75325790940565,406.0,ct,35.0,ok,,S3_unreliable,,S3_unreliable,1.7,1.7,,S3_unreliable,,S3_unreliable,1.65,1.65,1.75,S1_optimal,1.75,S1_optimal,1.75,1.75
CH-CHA_202107221200.csv,CH-CHA_202107221010.csv,2021-07-22T12:00:00,4,36000,ok,,136.98425663632406,5.6832133458981975,1.7,1.65,1.95,0.30000000000000004,True,-5.95,-0.015542928835307397,5.167816039924757e-06,403.0,ct,34.0,ok,-2.75,-6.3,4.8,11.1,False,2.6,0.013801905063342498,4.917343394973068e-06,431.0,ct,33.0,ok,1.75,1.7,1.75,0.050000000000000044,True,1.75,0.04657221391622881,149.45861026966307,384.0,ct,35.0,ok,1.7,S1_optimal,1.7,S1_optimal,1.7,1.7,,S3_unreliable,,S3_unreliable,1.65,1.65,1.75,S1_optimal,1.75,S1_optimal,1.75,1.75
CH-CHA_202107221230.csv,CH-CHA_202107221010.csv,2021-07-22T12:30:00,5,35994,ok,,158.4004471412249,2.6964349527800535,1.85,-3.95,8.35,12.3,False,0.9,0.013516278132299171,0.00017204289217118783,444.0,ct,34.0,ok,2.5,-5.1,7.5,12.6,False,2.55,0.016176557611435747,7.718528483112733e-06,442.0,ct,33.0,ok,1.75,1.75,1.8,0.050000000000000044,True,1.75,0.05864824702599036,117.61647186012543,442.0,tc,35.0,ok,1.85,S2_optimal,1.7,S3_unreliable,1.85,1.7,,S3_unreliable,,S3_unreliable,1.65,1.65,1.75,S1_optimal,1.75,S1_optimal,1.75,1.75
CH-CHA_202107221300.csv,CH-CHA_202107221300.csv,2021-07-22T13:00:00,0,36000,ok,,159.97119077484177,3.0686351760378843,1.6,-6.1,1.95,8.049999999999999,False,-2.95,0.017854277734997825,0.00043989818658641015,424.0,ct,34.0,ok,1.5,-7.0,5.2,12.2,False,1.2,-0.015776560237535774,-3.666693182312312e-06,423.0,cw,33.0,ok,1.75,1.75,1.75,0.0,True,1.7,0.06106146094850284,155.81141604261526,322.0,tc,35.0,ok,1.6,S2_optimal,1.7,S3_unreliable,1.6,1.7,,S3_unreliable,,S3_unreliable,1.65,1.65,1.75,S1_optimal,1.75,S1_optimal,1.75,1.75
CH-CHA_202107221330.csv,CH-CHA_202107221300.csv,2021-07-22T13:30:00,1,36000,ok,,151.27149897657912,3.057934373858383,-0.1,-6.8,8.5,15.3,False,0.0,0.01733862518782325,7.356881405456658e-07,455.0,wc,34.0,ok,2.85,-4.6,7.0,11.6,False,3.4,0.01988466508354966,3.176897185637396e-06,455.0,ct,33.0,ok,1.75,1.7,1.75,0.050000000000000044,True,1.7,0.05231697194795883,126.46600115650064,450.0,tc,35.0,ok,1.6,S3_unreliable,1.7,S3_unreliable,1.6,1.7,,S3_unreliable,,S3_unreliable,1.65,1.65,1.75,S1_optimal,1.75,S1_optimal,1.75,1.75
CH-CHA_202107221400.csv,CH-CHA_202107221300.csv,2021-07-22T14:00:00,2,36000,ok,,163.77637973727136,3.5671092011813865,1.75,-7.75,6.75,14.5,False,-1.75,-0.019127802676809778,5.995371658972851e-06,448.0,ct,34.0,ok,3.35,-7.4,9.8,17.200000000000003,False,4.15,0.014785321909902383,6.300494176019091e-07,451.0,ct,33.0,ok,1.75,1.7,1.75,0.050000000000000044,True,1.7,0.061010303346207946,136.63562946424221,424.0,tc,35.0,ok,1.75,S2_optimal,1.7,S3_unreliable,1.75,1.7,,S3_unreliable,,S3_unreliable,1.65,1.65,1.75,S1_optimal,1.75,S1_optimal,1.75,1.75
CH-CHA_202107221430.csv,CH-CHA_202107221300.csv,2021-07-22T14:30:00,3,36000,ok,,160.84094683625773,4.7206219417174635,1.75,1.65,1.85,0.20000000000000018,True,-5.9,-0.015527986582635751,-2.816561424372523e-07,421.0,ct,35.0,ok,2.7,-5.1,5.2,10.3,False,-6.95,-0.018421287602707205,1.586132753926853e-06,441.0,ct,33.0,ok,1.7,1.7,1.75,0.050000000000000044,True,1.65,0.0488438333403199,113.2130225329307,424.0,tc,34.0,ok,1.75,S1_optimal,1.75,S1_optimal,1.75,1.75,,S3_unreliable,,S3_unreliable,1.65,1.65,1.7,S1_optimal,1.7,S1_optimal,1.7,1.7
